city,state,state_code,airport_code,airport_name
Birmingham,ALABAMA,AL,BHM,Birmingham–Shuttlesworth International Airport
Dothan,ALABAMA,AL,DHN,Dothan Regional Airport
Huntsville,ALABAMA,AL,HSV,Huntsville International Airport (Carl T. Jones Field)
Mobile,ALABAMA,AL,MOB,Mobile Regional Airport
Montgomery,ALABAMA,AL,MGM,Montgomery Regional Airport (Dannelly Field)
Anchorage,ALASKA,AK,ANC,Ted Stevens Anchorage International Airport
Anchorage,ALASKA,AK,MRI,Merrill Field
Aniak,ALASKA,AK,ANI,Aniak Airport
Barrow,ALASKA,AK,BRW,Wiley Post–Will Rogers Memorial Airport
Bethel,ALASKA,AK,BET,Bethel Airport (also see Bethel Seaplane Base)
Cordova,ALASKA,AK,CDV,Merle K. (Mudhole) Smith Airport
Deadhorse / Prudhoe Bay,ALASKA,AK,SCC,Deadhorse Airport (Prudhoe Bay Airport)
Dillingham,ALASKA,AK,DLG,Dillingham Airport
Fairbanks,ALASKA,AK,FAI,Fairbanks International Airport
Galena,ALASKA,AK,GAL,Edward G. Pitka Sr. Airport
Homer,ALASKA,AK,HOM,Homer Airport
Juneau,ALASKA,AK,JNU,Juneau International Airport
Kenai,ALASKA,AK,ENA,Kenai Municipal Airport
Ketchikan,ALASKA,AK,KTN,Ketchikan International Airport
King Salmon,ALASKA,AK,AKN,King Salmon Airport
Kodiak,ALASKA,AK,ADQ,Kodiak Airport
Kotzebue,ALASKA,AK,OTZ,Ralph Wien Memorial Airport
Nome,ALASKA,AK,OME,Nome Airport
Petersburg,ALASKA,AK,PSG,Petersburg James A. Johnson Airport
Sitka,ALASKA,AK,SIT,Sitka Rocky Gutierrez Airport
St. Mary's,ALASKA,AK,KSM,St. Mary's Airport
Unalakleet,ALASKA,AK,UNK,Unalakleet Airport
Unalaska,ALASKA,AK,DUT,Unalaska Airport (Tom Madsen Airport)
Valdez,ALASKA,AK,VDZ,Valdez Airport (Pioneer Field)
Wrangell,ALASKA,AK,WRG,Wrangell Airport (also see Wrangell Seaplane Base)
Yakutat,ALASKA,AK,YAK,Yakutat Airport (also see Yakutat Seaplane Base)
Bullhead City,ARIZONA,AZ,IFP,Laughlin/Bullhead International Airport
Flagstaff,ARIZONA,AZ,FLG,Flagstaff Pulliam Airport
Grand Canyon / Tusayan,ARIZONA,AZ,GCN,Grand Canyon National Park Airport
Mesa,ARIZONA,AZ,AZA,Phoenix–Mesa Gateway Airport (formerly Williams AFB)
Page,ARIZONA,AZ,PGA,Page Municipal Airport
Peach Springs,ARIZONA,AZ,GCW,Grand Canyon West Airport
Phoenix,ARIZONA,AZ,PHX,Phoenix Sky Harbor International Airport
Tucson,ARIZONA,AZ,TUS,Tucson International Airport
Yuma,ARIZONA,AZ,YUM,Yuma International Airport / MCAS Yuma
Fayetteville,ARKANSAS,AR,XNA,Northwest Arkansas Regional Airport
Fort Smith,ARKANSAS,AR,FSM,Fort Smith Regional Airport
Little Rock,ARKANSAS,AR,LIT,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National)
Texarkana,ARKANSAS,AR,TXK,Texarkana Regional Airport (Webb Field)
Arcata / Eureka,CALIFORNIA,CA,ACV,Arcata Airport
Bakersfield,CALIFORNIA,CA,BFL,Meadows Field
Burbank,CALIFORNIA,CA,BUR,Bob Hope Airport (Hollywood Burbank Airport)
Carlsbad,CALIFORNIA,CA,CRQ,McClellan–Palomar Airport
Chico,CALIFORNIA,CA,CIC,Chico Municipal Airport
Crescent City,CALIFORNIA,CA,CEC,Del Norte County Airport (Jack McNamara Field)
Fresno,CALIFORNIA,CA,FAT,Fresno Yosemite International Airport
Long Beach,CALIFORNIA,CA,LGB,Long Beach Airport (Daugherty Field)
Los Angeles,CALIFORNIA,CA,LAX,Los Angeles International Airport
Mammoth Lakes,CALIFORNIA,CA,MMH,Mammoth Yosemite Airport
Monterey,CALIFORNIA,CA,MRY,Monterey Regional Airport (was Monterey Peninsula Airport)
Oakland,CALIFORNIA,CA,OAK,Oakland International Airport
Ontario,CALIFORNIA,CA,ONT,Ontario International Airport
Palm Springs,CALIFORNIA,CA,PSP,Palm Springs International Airport
Redding,CALIFORNIA,CA,RDD,Redding Municipal Airport
Sacramento,CALIFORNIA,CA,SMF,Sacramento International Airport
San Diego,CALIFORNIA,CA,SAN,San Diego International Airport (Lindbergh Field)
San Francisco,CALIFORNIA,CA,SFO,San Francisco International Airport
San Jose,CALIFORNIA,CA,SJC,Norman Y. Mineta San José International Airport
San Luis Obispo,CALIFORNIA,CA,SBP,San Luis Obispo County Regional Airport (McChesney Field)
Santa Ana,CALIFORNIA,CA,SNA,John Wayne Airport (was Orange County Airport)
Santa Barbara,CALIFORNIA,CA,SBA,Santa Barbara Municipal Airport (Santa Barbara Airport)
Santa Maria,CALIFORNIA,CA,SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field)
Santa Rosa,CALIFORNIA,CA,STS,Charles M. Schulz–Sonoma County Airport
Stockton,CALIFORNIA,CA,SCK,Stockton Metropolitan Airport
Aspen,COLORADO,CO,ASE,Aspen-Pitkin County Airport (Sardy Field)
Colorado Springs,COLORADO,CO,COS,City of Colorado Springs Municipal Airport
Denver,COLORADO,CO,DEN,Denver International Airport
Durango,COLORADO,CO,DRO,Durango-La Plata County Airport
Eagle,COLORADO,CO,EGE,Eagle County Regional Airport
Grand Junction,COLORADO,CO,GJT,Grand Junction Regional Airport (Walker Field)
Gunnison,COLORADO,CO,GUC,Gunnison-Crested Butte Regional Airport
Hayden,COLORADO,CO,HDN,Yampa Valley Airport (Yampa Valley Regional)
Montrose,COLORADO,CO,MTJ,Montrose Regional Airport
Hartford,CONNECTICUT,CT,BDL,Bradley International Airport
New Haven,CONNECTICUT,CT,HVN,Tweed New Haven Regional Airport
Wilmington,DELAWARE,DE,ILG,Wilmington Airport
Daytona Beach,FLORIDA,FL,DAB,Daytona Beach International Airport
Fort Lauderdale,FLORIDA,FL,FLL,Fort Lauderdale–Hollywood International Airport
Fort Myers,FLORIDA,FL,RSW,Southwest Florida International Airport
Gainesville,FLORIDA,FL,GNV,Gainesville Regional Airport
Jacksonville,FLORIDA,FL,JAX,Jacksonville International Airport
Key West,FLORIDA,FL,EYW,Key West International Airport
